from,to,relationship,weight,year_beginning,year_end
abfo,shta,2,3,1968,99
abfo,rida,1,1,1969,99
brle,shta,2,2,1967,99
brle,clbo,3,2,1966,99
cash,MF,99,99,99,99
cash,chma,2,2,99,99
chma,kalu,2,3,99,1969
chma,MF,99,99,99,99
chma,cash,2,1,99,99
chma,chwa,2,2,99,99
chma,kalu,2,1,99,99
chma,leva,2,1,99,99
chma,lika,2,1,99,99
chma,lyfr,2,1,99,99
chma,pakr,2,1,99,99
chma,suat,2,1,99,99
chwa,clbo,3,2,1969,1969
chwa,rida,3,1,1969,1969
chwa,suat,2,2,99,99
chwa,pakr,2,2,99,99
chwa,lika,2,2,99,99
chwa,lyfr,2,2,99,99
chwa,MF,99,99,99,99
chwa,chma,2,2,99,99
clbo,rida,2,3,99,99
clbo,kalu,2,1,1969,1969
clbo,brle,3,2,1966,99
clbo,gesp,2,1,99,99
clbo,lyfr,3,1,99,99
clbo,frca,1,1,1969,99
clbo,chwa,6,99,1969,1969
clbo,pakr,6,99,1969,1969
frca,rida,5,2,1969,99
frca,clbo,1,1,1969,99
frca,chwa,6,99,1969,1969
frca,pakr,6,99,1969,1969
gesp,clbo,2,1,99,99
gesp,lyfr,5,2,99,99
jase,shta,5,3,1964,99
jase,ropo,3,2,1967,99
jase,stmcq,2,2,99,99
kalu,chma,2,3,99,1969
kalu,lyfr,2,2,99,99
kalu,MF,99,99,99,99
kalu,chma,2,2,99,99
leva,MF,99,99,99,99
leva,chma,2,2,99,99
lika,rida,3,1,1969,1969
lika,chwa,2,2,99,99
lika,pakr,2,2,99,99
lika,suat,2,2,99,99
lika,lyfr,2,2,99,99
lika,MF,99,99,99,99
lika,chma,2,2,99,99
lyfr,clbo,3,1,1969,1969
lyfr,gesp,5,1,99,99
lyfr,chwa,2,2,99,99
lyfr,pakr,2,2,99,99
lyfr,suat,2,2,99,99
lyfr,lika,2,2,99,99
lyfr,MF,99,99,99,99
lyfr,chma,2,2,99,99
masc,rida,2,2,99,99
pakr,MF,99,99,99,99
pakr,rida,3,1,1969,1969
pakr,chwa,2,2,99,99
pakr,suat,2,2,99,99
pakr,lika,2,2,99,99
pakr,lyfr,2,2,99,99
pakr,chma,2,2,99,99
rida,clbo,2,3,99,99
rida,ropo,2,1,1969,99
rida,shta,2,1,1969,99
rida,masc,2,2,99,99
rida,chwa,3,1,1969,1969
rida,pakr,3,1,1969,1969
rida,suat,3,1,1969,1969
rida,lika,3,1,1969,1969
rida,frca,5,2,1969,99
rida,suat,6,99,1969,1969
rida,abfo,1,1,1969,99
rida,wofr,1,1,1969,99
ropo,shta,5,3,1968,99
ropo,shta,2,3,1966,99
ropo,jase,2,2,1967,99
ropo,rida,2,1,1969,99
ropo,stmcq,2,2,99,99
shta,abfo,2,3,1968,99
shta,brle,2,2,1967,99
shta,jase,5,3,1964,99
shta,ropo,5,3,1966,99
shta,wofr,2,2,1968,99
shta,rida,2,1,1969,99
shta,stmcq,2,2,99,99
stmcq,shta,2,2,99,99
stmcq,ropo,2,2,99,99
stmcq,jase,2,2,99,99
suat,MF,99,99,99,99
suat,rida,3,1,1969,1969
suat,chwa,2,2,99,99
suat,pakr,2,2,99,99
suat,lika,2,2,99,99
suat,lyfr,2,2,99,99
suat,chma,2,2,99,99
wofr,shta,2,2,1968,99
wofr,rida,1,1,1969,1969
